,class
0,0.4439810886707715
1,0.7911686589124488
2,0.7911686589124488
3,0.3982301102453419
4,0.3565206158399267
5,0.3726280687515633
6,0.412386630102829
7,0.7471394096721686
8,0.40762199715557773
9,0.47199056145092394
10,0.4122244985112127
11,0.4739822726232109
12,0.3891691998103568
13,0.4105446486863407
14,0.4360051638928702
15,0.38310627837269495
16,0.40410532001471167
17,0.3910562026082857
18,0.38481188891174833
19,0.3731019129331458
20,0.4297990111797764
21,0.4087791179991799
22,0.45109810083274293
23,0.3982069991469148
24,0.41707015250024454
25,0.4019816746550936
26,0.39240645051725676
27,0.40758523973819205
28,0.41387539401935114
29,0.3543523266081073
30,0.39769909021103533
31,0.4137428753900981
32,0.4244524278868481
33,0.3877294094101003
34,0.41126396858391095
35,0.45334372906127096
36,0.40658221653712895
37,0.43059957884324684
38,0.4131721545280106
39,0.40095433415657894
40,0.4158174834166518
41,0.3878594299471953
42,0.8039924647412059
43,0.3725458259290432
44,0.437916725816975
45,0.4010457068215613
46,0.40355549181162825
47,0.4035437155502558
48,0.4069934820137083
49,0.3988206027034879
50,0.37949727396690563
51,0.369755681092536
52,0.4645546421939231
53,0.4611968552178285
54,0.3724180590232413
55,0.38388448249913315
56,0.4588880630520248
57,0.41704377194933717
58,0.43753605546745067
59,0.3821770710684822
60,0.4057175200591905
61,0.40290514813901346
62,0.38848730102991547
63,0.3997542968711024
64,0.39818156307622254
65,0.39991229781444054
66,0.360056228299627
67,0.4073767319762876
68,0.40313877259857966
69,0.4009473529344614
70,0.3988935737568022
71,0.7848855814747926
72,0.383181669336902
73,0.47294249200476224
74,0.37213456045246385
75,0.4135050686815436
76,0.45586915744511597
77,0.41132918988394074
78,0.3749567166077006
79,0.3784509626315691
80,0.3875083453877074
81,0.42386497822194646
82,0.41012716605810484
83,0.8249663584583611
84,0.3969434346931122
85,0.4037940230591523
86,0.39637629727968193
87,0.4564335896824791
88,0.4493604104549784
89,0.37561498871413806
90,0.3982496136470738
91,0.384830058292081
92,0.3819754920905585
93,0.4103834114776548
94,0.41954456040168303
95,0.4178421947567903
96,0.42533005000810886
97,0.4058736247467224
98,0.3704988129218448
99,0.41229334328692097
100,0.40854962018408275
101,0.4268664507323346
102,0.3700312802569495
103,0.38807370682156855
104,0.40884828568826315
105,0.37729349494132886
106,0.4203595834577891
107,0.37278051466548867
108,0.39146489923990657
109,0.3948156949078999
110,0.34683004635379194
111,0.3661456066765854
112,0.7793277141005833
113,0.4586171884556379
114,0.40214682701975285
115,0.4417823003723894
116,0.43558667405619483
117,0.42912161425395823
118,0.3936733928047997
119,0.4119484322958143
120,0.40982754903149554
121,0.4218395013898598
122,0.4027899202609275
123,0.45462816787250926
124,0.39733181004980644
125,0.4582077660387814
126,0.37585622180704864
127,0.4307894013633317
128,0.4009473529344614
129,0.3977430755263858
130,0.47199056145092394
131,0.4080426380900331
132,0.4587778331683232
133,0.3982444046633727
134,0.4093954515506261
135,0.40477513505808776
136,0.4189831078221625
137,0.44468009666821734
138,0.37907086355646386
139,0.41039197396658517
140,0.35182303548423466
141,0.3812516794148284
142,0.4551460159296701
143,0.39805559374072547
144,0.3971555167964388
145,0.4047386807217388
146,0.356031321500439
147,0.40518671362710834
148,0.4130647700929461
149,0.39263184510362054
150,0.39247753736321184
151,0.40860650213562166
152,0.43045636996164277
153,0.46373961913781697
154,0.43383594271070053
155,0.4430996509725097
156,0.40031798193422624
157,0.4417190836392626
158,0.4011052103068387
159,0.3979165624148443
160,0.45220108565150563
161,0.3997116887996314
162,0.46545090782864995
163,0.4491016664892903
164,0.4013414736236998
165,0.3816346793925033
166,0.45766710096152247
167,0.4026655296144551
168,0.39247753736321184
169,0.3838220325955491
170,0.4313020156785406
171,0.3620238922384396
172,0.443862414097242
173,0.3872793995694341
174,0.3826404093137012
175,0.796348494871964
176,0.40474854787498715
177,0.4164294580198495
178,0.3994446243854614
179,0.38789038349746524
180,0.36591158107646776
181,0.3934466454756883
182,0.3974138609017237
183,0.4632979372300846
184,0.3637608451386428
185,0.43832313572929543
186,0.39312141165874703
187,0.810105616537848
188,0.7890854589990774
189,0.42928740329456994
190,0.42218565781680434
191,0.3827875809233703
192,0.43335647519385034
193,0.3730718067685888
194,0.4625610041866098
195,0.42560056879857144
196,0.4692241134635242
197,0.4426846714438865
198,0.451050886459344
199,0.4509564701638451
200,0.41301419420005414
201,0.40835841858723926
202,0.41276820985247803
203,0.4635430501820329
204,0.42710421913763763
205,0.4070998858141707
206,0.4246315013355936
207,0.4491016664892903
208,0.42073152747075937
209,0.4087841891750824
210,0.7981801294475019
211,0.3992938456876124
212,0.41472704799696175
213,0.44676305789562487
214,0.421623184006397
215,0.40912434034046957
216,0.3981376264372372
217,0.4696194089451051
218,0.4053185541106727
219,0.4692081434685258
220,0.4378110255612791
221,0.435868256395138
222,0.4084370202116838
223,0.384830058292081
224,0.7911488883701965
225,0.3849899160034554
226,0.3509554212852516
227,0.7833310047605946
228,0.45970885608679435
229,0.4350137324032238
230,0.368510332129606
231,0.3761144353515287
232,0.43551284794441353
233,0.4026655296144551
234,0.40003956790219414
235,0.45770619272427576
236,0.4001323298783553
237,0.4310116420063467
238,0.3992265875225376
239,0.4246112369610457
240,0.4320524664580854
241,0.4172221481049255
242,0.4117552938771211
243,0.43171196650169447
244,0.42040225865699643
245,0.3914625491235713
246,0.46218736204866784
247,0.3895243395490407
248,0.45777541726431703
249,0.3551048527054133
250,0.40460904611525833
251,0.4001834090245972
252,0.3837297149389069
253,0.7678112190010147
254,0.41663250647275785
255,0.35526473193087027
256,0.3777321629568089
257,0.4560836240171898
258,0.4510079263084913
259,0.4744275199162186
260,0.3409765861860517
261,0.3956617489584816
262,0.4127037589841675
263,0.3801577599040026
264,0.39666926032641847
265,0.40193670366554896
266,0.40357553703576177
267,0.3973226033811311
268,0.4583428304767907
269,0.4346373095392728
270,0.4086316468308234
271,0.4186872198910879
272,0.4082611907037837
273,0.4292432455014406
274,0.38533150491093676
275,0.7968395482766394
276,0.38093403731524833
277,0.4009547001102619
278,0.4692241134635242
279,0.4298478616476343
280,0.4285870787992222
281,0.37495995617232175
282,0.4077345971279767
283,0.40758523973819205
284,0.7854843875090756
285,0.44023112007324383
286,0.7882655768564797
287,0.4350137324032238
288,0.4289599941423002
289,0.4726615638834142
290,0.4667143748044606
291,0.38435689146472757
292,0.3604609435211044
293,0.40552385218464493
294,0.3886961973032304
295,0.35327081897921325
296,0.4277654629948661
297,0.388900755998365
298,0.4430162870650712
299,0.3616242890192037
300,0.41216023421863784
301,0.4029044597221675
302,0.3825706020997135
303,0.41320221031283916
304,0.41216023421863784
305,0.4643357402671089
306,0.3622857460983461
307,0.4307261051630251
308,0.362351174234934
309,0.4451325527383885
310,0.39263184510362054
311,0.3901035730512895
312,0.4604371315866186
313,0.40734966896326613
314,0.44159572295443233
315,0.43053024699965553
316,0.46006256971333614
317,0.3504705864915941
318,0.37701117223131253
319,0.4135050686815436
320,0.384031874743037
321,0.4670015670903831
322,0.3925901355721014
323,0.46694314451726976
324,0.4130056675783468
325,0.40225062123690664
326,0.34877891348824347
327,0.4001839505512482
328,0.4295716259838181
329,0.3973226033811311
330,0.3715633057539167
331,0.4101772680057892
332,0.3930300020602892
333,0.45442118389240016
334,0.39544297179373306
335,0.4102117887608056
336,0.4558518825992381
337,0.36274238786260593
338,0.4015826344282052
339,0.40796916611897627
340,0.43837921959773335
341,0.3356476329254107
342,0.3758056898795229
343,0.42404324151777334
344,0.4222210811395089
345,0.40114769339611794
346,0.435868256395138
347,0.45709011953561823
348,0.3953014491502431
349,0.3998678535695643
350,0.4252016028500537
351,0.37231689097435283
352,0.8032546332866711
353,0.38974518717202
354,0.46495217204146855
355,0.41869872903513966
356,0.46006256971333614
357,0.44481508334430253
358,0.4127382077742865
359,0.3695962992568346
360,0.40660544089062284
361,0.46874342673835157
362,0.8026556168872622
363,0.4422846279164036
364,0.39837952490084555
365,0.43919133945479516
366,0.37861853481449603
367,0.40229267473208913
368,0.46563654582374997
369,0.4559504000237367
370,0.42974857691159296
371,0.4682073893848843
372,0.39968958908358604
373,0.43919133945479516
374,0.46840909040741807
375,0.4514672293175427
376,0.4487858371913499
377,0.39933757765805383
378,0.4564395223084325
379,0.4044484255646443
380,0.4583189689575619
381,0.40650361491268444
382,0.7926480716810632
383,0.4304692057726184
384,0.44169498352992076
385,0.4650151836388853
386,0.3722868898770397
387,0.43316179984255415
388,0.41064488666718396
389,0.4081569878597876
390,0.37813888987782757
391,0.46006256971333614
392,0.38463515502598056
393,0.4289515960129074
394,0.38484252375955147
395,0.3871186732842631
396,0.412269784308998
397,0.4137428753900981
398,0.38492880747856056
399,0.39429269952627005
400,0.37737959369098595
401,0.4692081434685258
402,0.38320102541284307
403,0.4014322205120486
404,0.4010927673271813
405,0.46936702499481064
406,0.44014561231997795
407,0.4715627220571896
408,0.3570929407602918
409,0.3967800548592087
410,0.36256926568397624
411,0.3629062426891329
412,0.4290975934784991
413,0.3878979546670104
414,0.3858084614834027
415,0.437199770599632
416,0.45877642892440024
417,0.3997786439639063
418,0.42880703719589547
419,0.38749988502274185
420,0.7934551311955406
421,0.3895243395490407
422,0.4432079672753043
423,0.7995775766692641
424,0.43682018694897623
425,0.42325252174937433
426,0.3778003096137227
427,0.4064164005600636
428,0.40761817795673866
429,0.3887093164929346
430,0.3843707459684805
431,0.40650361491268444
432,0.3887783789697705
433,0.42945032292208185
434,0.3975459414466616
435,0.3824214083069218
436,0.42226042010794235
437,0.41575006775889933
438,0.36443178376747404
439,0.4081569878597876
440,0.4013414736236998
441,0.4236861529256713
442,0.400059189790365
443,0.37834203711381026
444,0.37046414181954607
445,0.4236876134766535
446,0.40507472641727177
447,0.786964080171735
448,0.4017978612846848
449,0.4549182467744177
450,0.805928509023135
451,0.45313771723126767
452,0.40428300608596524
453,0.41283561340090247
454,0.43829203971889164
455,0.3737755540582411
456,0.44130170745610325
457,0.45250677848714427
458,0.3930311655635529
459,0.43745481288882987
460,0.3894829197406487
461,0.42817627511937423
462,0.3956617489584816
463,0.7669571910339734
464,0.38446071915418834
465,0.3548044866472527
466,0.8144285902905486
467,0.4021820713232287
468,0.808756188511637
469,0.4043481531250671
470,0.38533150491093676
471,0.4175554809985607
472,0.4194093916838582
473,0.39654362435316276
474,0.4698514333663566
475,0.43308446590552724
476,0.37705777883395847
477,0.3822672697661892
478,0.46689325078758853
479,0.8111103214486667
480,0.42710905535948374
481,0.46438541805633976
482,0.4042930261555146
483,0.35341296037558056
484,0.4468646047808439
485,0.44973674786204815
486,0.40425595439162304
487,0.3963650415849104
488,0.41869872903513966
489,0.40854962018408275
490,0.4364535095099875
491,0.40901776761220104
492,0.38754711224912414
493,0.8135076385003429
494,0.4595691190094762
